ANode,BNode,LinkID
30194,41225,30194_41225
30195,30277,30195_30277
30196,30219,30196_30219
30197,30221,30197_30221
30198,41234,30198_41234
30199,42303,30199_42303
30199,30200,30199_30200
30200,30244,30200_30244
30201,41270,30201_41270
30202,30234,30202_30234
30203,30271,30203_30271
30203,30230,30203_30230
30204,30238,30204_30238
30205,30198,30205_30198
30206,30207,30206_30207
30207,30215,30207_30215
30208,30214,30208_30214
30209,30208,30209_30208
30210,30254,30210_30254
30211,30249,30211_30249
30212,30213,30212_30213
30213,43219,30213_43219
30214,30224,30214_30224
30215,31331,30215_31331
30215,30231,30215_30231
30216,30213,30216_30213
30217,42712,30217_42712
30217,30481,30217_30481
30218,42126,30218_42126
30218,32630,30218_32630
30219,42000,30219_42000
30219,30202,30219_30202
30220,30481,30220_30481
30220,30407,30220_30407
30221,30199,30221_30199
30222,30210,30222_30210
30223,30226,30223_30226
30223,30271,30223_30271
30224,30201,30224_30201
30224,41254,30224_41254
30225,41276,30225_41276
30225,30214,30225_30214
30226,30223,30226_30223
30226,41256,30226_41256
30226,30272,30226_30272
30227,31462,30227_31462
30227,30232,30227_30232
30228,32630,30228_32630
30228,30237,30228_30237
30229,41248,30229_41248
30229,30204,30229_30204
30230,30203,30230_30203
30230,30209,30230_30209
30231,30242,30231_30242
30232,30197,30232_30197
30233,41297,30233_41297
30233,41932,30233_41932
30234,30194,30234_30194
30235,30243,30235_30243
30236,41258,30236_41258
30236,42503,30236_42503
30237,41279,30237_41279
30238,30228,30238_30228
30239,30229,30239_30229
30240,30233,30240_30233
30241,30275,30241_30275
30242,41278,30242_41278
30243,30241,30243_30241
30244,30196,30244_30196
30245,30236,30245_30236
30246,41274,30246_41274
30247,30210,30247_30210
30248,42797,30248_42797
30248,30492,30248_30492
30249,33397,30249_33397
30249,30247,30249_30247
30250,30251,30250_30251
30251,30252,30251_30252
30252,30255,30252_30255
30253,32451,30253_32451
30253,43217,30253_43217
30254,30250,30254_30250
30255,30248,30255_30248
30256,30211,30256_30211
30257,33398,30257_33398
30257,30222,30257_30222
30257,30266,30257_30266
30258,30246,30258_30246
30258,33299,30258_33299
30259,41297,30259_41297
30260,42822,30260_42822
30260,30217,30260_30217
30261,30265,30261_30265
30261,31376,30261_31376
30262,41660,30262_41660
30262,42865,30262_42865
30263,41667,30263_41667
30263,30216,30263_30216
30264,30197,30264_30197
30265,41232,30265_41232
30266,42698,30266_42698
30266,32560,30266_32560
30267,30209,30267_30209
30267,41969,30267_41969
30268,42252,30268_42252
30268,41229,30268_41229
30269,30202,30269_30202
30269,42008,30269_42008
30270,42900,30270_42900
30270,35718,30270_35718
30271,30223,30271_30223
30271,35727,30271_35727
30271,30203,30271_30203
30272,30226,30272_30226
30272,34265,30272_34265
30273,32414,30273_32414
30273,30235,30273_30235
30274,33299,30274_33299
30274,41231,30274_41231
30275,42702,30275_42702
30275,34191,30275_34191
30276,41255,30276_41255
30276,30206,30276_30206
30277,31376,30277_31376
30277,30205,30277_30205
30278,39862,30278_39862
30278,30304,30278_30304
30279,30388,30279_30388
30279,40542,30279_40542
30280,30279,30280_30279
30281,30549,30281_30549
30281,30431,30281_30431
30282,31413,30282_31413
30282,43074,30282_43074
30283,30521,30283_30521
30284,30475,30284_30475
30284,40878,30284_40878
30285,43058,30285_43058
30286,30355,30286_30355
30287,30315,30287_30315
30288,30427,30288_30427
30289,30463,30289_30463
30290,31360,30290_31360
30290,31780,30290_31780
30290,30321,30290_30321
30291,30422,30291_30422
30292,31625,30292_31625
30292,33394,30292_33394
30292,30465,30292_30465
30293,30320,30293_30320
30294,35737,30294_35737
30295,30536,30295_30536
30296,40083,30296_40083
30296,30325,30296_30325
30297,30312,30297_30312
30298,41653,30298_41653
30299,32383,30299_32383
30300,30823,30300_30823
30301,30285,30301_30285
30302,42967,30302_42967
30303,30297,30303_30297
30304,40081,30304_40081
30304,37465,30304_37465
30305,30428,30305_30428
30306,30438,30306_30438
30307,30354,30307_30354
30308,30356,30308_30356
30309,30444,30309_30444
30310,30311,30310_30311
30311,30471,30311_30471
30312,30287,30312_30287
30313,30314,30313_30314
30314,30303,30314_30303
30315,30472,30315_30472
